DOMAIN	Anaeromyces-like_sp_C3J_Trinity	Anaeromyces_robustus_S4	Anaeromyces_sp_C3G_Trinity	Anaeromyces_sp_G3G_Trinity	Anaeromyces_sp_Na_Trinity	Anaeromyces_sp_O2_Trinity	Caecomyces_sp_Brit4_Trinity	Caecomyces_sp_Iso3_Trinity	Chytriomyces_sp_MP71	Entophlyctis_helioformis_JEL805	Gaertneriomyces_semiglobifer_Barr_43	Gonapodya_prolifera_JEL478	Neocallimastix_californiae_G1	Neocallimastix_frontalis_Hef5_Trinity	Neocallimastix_sp_G3_Trinity	Orpinomyces_sp_D3A_Trinity	Orpinomyces_sp_D3B_Trinity	Orpinomyces_sp_D4C_Trinity	Pecoramyces_ruminantium_C1A	Pecoramyces_sp_FS3C_Trinity	Pecoramyces_sp_FX4B_Trinity	Pecoramyces_sp_S4B_Trinity	Pecoramyces_sp_YC3_Trinity	Piromyces_finnis	Piromyces_sp_A1_Trinity	Piromyces_sp_B4_Trinity	Piromyces_sp_B5_Trinity	Piromyces_sp_E2	Rhizoclosmatium_globosum_primary	Feramyces_austinii_WSF2c_Trinity	Feramyces_austinii_WSF3a_Trinity
AMP-binding	115	169	27	68	65	67	18	81	34	30	31	55	114	76	47	26	27	26	314	112	104	71	84	19	43	254	176	143	29	25	33
Metallophos	128	64	64	86	92	404	52	138	37	18	14	25	61	148	79	38	65	65	51	62	55	62	66	34	50	197	118	38	29	54	68
EF-hand_5	90	40	44	88	79	75	87	105	50	23	45	31	60	185	168	236	145	42	34	65	79	92	56	31	50	100	65	25	42	65	96
HSP20	65	70	26	81	56	65	70	105	13	7	5	5	180	208	87	50	51	50	26	146	124	89	107	34	99	74	79	39	14	121	168
AAA_21	89	65	47	66	65	112	53	180	15	18	7	6	113	176	104	58	114	109	48	63	66	82	63	39	79	153	92	77	13	51	48
PFL-like	96	23	54	103	87	129	89	154	0	0	0	1	33	111	96	128	49	120	18	104	98	96	70	21	122	81	120	20	0	76	81
RicinB_lectin_2	118	41	60	128	207	297	25	74	5	9	0	0	87	111	35	30	118	62	45	121	79	103	94	36	54	66	47	25	2	75	92
ABC_membrane	122	87	98	47	64	132	40	92	83	54	37	45	70	156	79	17	20	30	55	99	66	81	76	43	36	130	124	82	131	24	35
HSP70	78	19	50	77	83	81	60	94	11	11	8	14	92	162	119	75	110	88	36	112	76	78	79	37	55	168	112	29	13	85	93
ANAPC4_WD40	191	34	64	137	133	201	56	148	23	22	25	18	51	135	74	60	56	73	43	79	71	74	62	40	62	123	23	29	31	53	82
Thioredoxin	81	30	46	81	93	109	69	198	37	12	17	22	45	243	109	96	108	115	37	69	51	54	63	25	80	129	27	23	27	69	76
zf-RING_2	117	42	48	97	122	126	50	116	55	41	33	74	59	142	69	52	43	50	25	78	59	80	58	43	85	109	31	26	61	54	78
Acetyltransf_1	99	40	52	92	86	128	63	138	48	27	22	30	40	114	68	53	68	48	20	99	73	80	73	33	80	116	123	28	40	45	54
7tm_3	35	103	20	44	28	38	35	100	17	20	16	3	117	131	53	12	8	16	152	138	179	87	133	70	22	109	60	38	56	50	40
ABC2_membrane_3	88	63	44	34	63	83	31	143	13	17	1	3	108	201	111	51	45	51	77	60	61	90	76	33	38	164	134	48	15	20	43
Aminotran_1_2	141	26	40	92	99	107	38	78	26	18	18	24	68	98	77	44	46	50	34	74	52	36	54	34	123	159	96	31	26	56	46
zf-C3HC4	108	40	49	92	119	119	42	103	49	42	41	86	54	139	68	38	33	39	26	70	53	71	51	42	57	121	39	25	63	47	74
Abhydrolase_1	54	24	28	34	46	68	52	155	46	39	21	50	41	156	103	39	44	41	25	81	71	93	74	16	147	156	68	27	42	41	43
ubiquitin	95	36	59	88	109	125	52	116	25	23	19	28	84	68	113	108	58	51	57	92	78	62	64	31	51	100	45	17	27	43	36
AAA_5	80	52	45	83	74	80	47	103	54	48	52	58	99	92	53	56	56	43	49	50	47	43	69	61	32	107	108	58	44	36	52
adh_short	69	24	31	60	132	63	41	73	69	36	34	144	35	76	89	36	36	30	22	52	43	72	38	14	74	205	130	15	57	43	54
DnaJ	105	34	50	80	107	118	38	147	37	21	27	31	53	137	76	55	48	52	23	58	54	40	50	33	59	124	26	25	28	57	56
EF-hand_8	63	33	35	68	64	57	62	98	37	22	42	25	51	138	183	123	81	21	26	57	70	74	49	25	42	74	43	19	32	49	84
Kinase-like	86	35	42	100	69	103	43	112	40	35	25	33	63	139	55	68	44	33	31	77	71	51	49	39	70	110	27	28	40	39	61
EF-hand_7	65	32	33	76	67	55	47	77	44	21	33	29	44	130	144	139	118	72	23	51	51	69	37	22	48	77	48	17	39	48	65
KH_1	120	25	123	141	123	144	29	73	21	18	24	27	49	156	84	46	44	47	23	47	33	40	30	27	44	91	37	24	20	29	30
Abhydrolase_3	64	41	33	64	83	94	22	51	24	24	16	46	64	86	53	33	34	20	54	59	71	86	66	26	60	102	98	56	17	56	58
Methyltransf_25	118	36	42	69	73	82	32	82	43	27	29	40	47	121	72	38	46	43	13	49	46	58	57	26	49	151	87	17	38	47	54
HECT	88	21	46	67	64	80	127	194	11	9	5	6	20	53	35	42	41	38	82	116	120	78	113	11	57	66	20	23	12	38	42
Glyco_hydro_11	39	33	25	43	87	44	25	68	0	0	0	0	29	48	47	12	31	17	50	90	62	49	66	43	77	175	164	72	0	74	86
LIM	49	41	32	34	30	49	35	116	15	36	35	14	63	149	61	27	16	15	37	80	62	72	71	38	72	76	37	26	9	57	65
Annexin	106	23	96	83	135	138	31	64	0	0	12	33	35	79	62	48	28	39	16	34	82	35	62	22	73	116	36	18	0	33	50
Gtr1_RagA	87	25	26	89	83	112	52	77	23	15	19	19	39	100	44	69	36	38	19	64	50	55	44	27	78	94	68	17	23	44	47
MFS_2	210	32	22	117	133	255	22	29	7	3	3	11	86	63	34	19	33	33	18	69	50	61	45	15	34	48	41	20	7	40	40
adh_short_C2	54	22	24	46	115	48	34	70	58	29	30	134	26	66	59	30	32	22	16	38	30	58	29	12	66	164	97	15	50	36	41
UQ_con	64	27	32	79	87	71	43	90	35	23	23	30	45	93	64	59	48	61	19	45	45	37	44	28	68	78	22	14	28	41	66
LOR	145	16	18	129	137	124	18	79	0	1	1	0	21	84	92	16	26	26	5	26	28	210	40	9	81	58	64	13	0	19	24
Methyltransf_11	104	28	32	71	59	71	30	77	36	25	25	46	34	88	46	38	45	41	15	50	39	57	49	22	44	147	84	15	40	43	56
EF-hand_1	59	23	29	54	52	46	55	76	32	19	34	18	33	81	128	224	133	23	21	29	45	31	23	19	32	63	50	18	28	36	40
COesterase	51	36	28	39	43	71	8	32	6	9	4	24	57	98	62	29	37	29	55	56	59	63	56	33	72	78	79	46	3	54	56
UCH	74	18	46	65	51	74	30	88	20	16	16	22	27	112	71	39	41	48	23	49	38	41	44	16	59	137	144	14	17	33	34
ResIII	97	31	39	46	38	111	29	77	50	33	51	35	36	89	57	37	21	33	31	60	36	55	36	39	24	83	69	31	50	21	26
Peptidase_M13_N	88	34	45	47	47	80	29	80	3	1	3	4	27	80	87	23	57	46	66	44	56	34	39	7	134	52	43	38	6	31	30
Aldo_ket_red	87	29	30	55	49	57	45	83	16	12	10	41	27	70	47	43	43	40	13	55	52	61	41	12	79	90	59	24	16	51	69
Hexapep	95	14	116	100	38	97	43	66	13	11	8	8	21	117	46	39	40	34	14	54	47	34	48	19	69	70	49	9	12	51	49
PH	118	31	40	71	103	114	29	88	18	16	17	10	51	106	48	30	27	34	30	50	52	42	48	32	39	49	19	19	14	26	25
Acetyltransf_10	77	29	35	69	63	90	47	104	27	14	14	20	26	82	46	37	32	33	10	67	46	56	49	18	56	71	40	17	25	26	37
Hydrolase	55	25	23	38	55	49	25	86	43	28	28	34	30	85	83	32	20	30	16	48	35	32	46	22	63	120	44	17	44	31	36
KR	55	24	24	37	113	43	24	64	37	21	27	96	29	59	87	22	19	20	12	30	31	56	25	15	48	147	92	11	33	28	31
zf-CCCH_2	64	13	41	48	75	59	33	64	1	2	3	0	38	81	68	37	48	47	18	78	51	53	50	20	52	95	52	18	4	45	31
Hydrolase_3	54	21	30	57	49	66	28	64	15	6	4	7	27	73	89	36	28	37	21	59	42	39	54	20	74	94	53	16	9	59	53
RuvB_N	84	25	38	66	67	89	36	119	24	19	26	24	32	72	54	50	42	46	20	49	28	54	47	23	22	70	41	17	18	52	31
TPR_2	70	19	41	62	67	68	38	91	17	14	16	14	26	96	56	28	33	40	30	42	45	41	44	29	46	89	28	20	19	34	36
Pro_isomerase	88	15	33	89	87	86	28	91	20	15	15	14	19	62	47	58	41	30	12	39	31	52	30	16	49	97	57	15	19	46	52
Proteasome	52	13	25	84	46	101	36	55	22	14	14	16	27	69	51	52	58	56	11	51	41	38	46	15	57	84	59	11	13	32	59
Trefoil	44	27	22	21	23	60	2	8	0	0	0	2	17	76	10	317	135	172	49	44	46	65	43	0	12	4	15	0	0	36	50
Cellulase	38	25	24	22	27	39	22	49	8	4	6	10	62	126	110	31	41	25	49	35	30	47	44	28	49	62	56	39	9	84	56
Acetyltransf_7	70	24	33	60	53	76	42	104	18	13	12	16	25	75	46	36	50	26	10	63	53	62	53	19	57	66	34	15	20	21	35
CH	48	23	25	41	84	51	34	62	15	15	17	15	32	85	45	26	32	24	20	37	42	96	45	24	37	78	66	15	9	46	40
Methyltransf_31	104	25	29	60	55	65	29	71	26	20	26	27	28	69	36	30	32	29	10	38	38	53	42	20	36	90	61	14	25	40	38
SBP_bac_1	7	123	4	5	10	19	17	89	2	5	2	0	115	98	17	7	10	6	204	42	74	74	61	51	2	33	20	52	3	8	3
PP-binding	42	125	19	14	20	46	9	57	3	3	20	2	104	68	22	7	5	11	180	71	50	45	59	13	18	97	64	87	8	7	7
Peptidase_M13	70	29	41	51	40	68	33	54	4	1	3	3	15	51	78	15	24	36	61	40	42	33	34	9	120	51	49	19	8	27	37
Chitin_synth_2	48	19	23	29	30	45	26	41	24	17	14	9	32	131	57	17	31	46	19	56	41	44	45	18	20	84	120	18	23	32	32
CBS	73	20	36	56	46	75	26	66	42	28	26	25	40	78	58	31	19	30	19	25	27	22	38	17	38	64	36	14	31	54	43
Glyco_hydro_6	33	13	19	21	27	27	28	39	0	0	0	0	28	59	33	19	53	43	45	68	86	66	89	21	73	43	44	34	0	87	70
AAA_2	68	18	22	69	75	57	27	54	21	17	18	16	28	73	37	35	29	27	15	59	48	52	69	15	34	67	35	18	12	37	43
zf-CCHC	72	18	42	40	42	61	21	57	10	9	18	23	18	76	63	38	13	36	54	70	26	30	26	20	29	95	141	14	23	33	34
RhoGAP	63	25	25	89	63	67	18	60	25	19	14	10	45	125	63	20	20	24	28	38	36	37	36	21	38	46	37	16	27	41	34
PUF	90	22	33	45	50	48	29	86	15	24	14	16	36	123	59	16	25	29	26	51	32	37	27	14	46	72	56	22	19	17	32
Actin	43	12	34	58	34	51	33	188	12	11	13	12	17	61	43	35	28	30	14	32	25	60	24	11	83	59	66	11	7	28	40
Cpn60_TCP1	40	13	19	60	39	30	35	73	13	10	10	9	21	63	36	38	43	34	14	46	22	17	20	13	65	199	76	13	13	39	42
SBP_bac_8	10	111	7	7	7	25	23	89	1	3	2	0	107	70	14	4	8	5	177	52	56	74	52	58	2	41	42	47	1	10	9
SET	50	21	27	39	42	391	20	46	25	17	19	20	22	47	29	38	24	27	10	25	22	23	24	19	23	38	15	15	27	29	32
zf-C3HC4_2	56	21	21	45	74	62	19	55	25	29	18	61	30	75	36	27	23	28	15	41	34	52	34	22	42	73	23	11	41	35	39
Hydrolase_4	49	15	24	29	34	60	31	63	36	31	17	34	29	92	87	19	26	22	14	37	29	45	26	11	50	65	34	14	36	26	34
Glyco_hydro_10	63	16	20	21	22	35	14	42	0	0	0	1	61	73	47	17	48	16	28	49	58	54	44	21	29	69	90	30	0	50	44
zf-C3HC4_3	41	21	28	54	46	57	23	61	22	24	24	35	26	82	36	37	32	30	22	45	40	38	30	24	43	70	30	10	29	33	46
TPR_16	40	25	14	30	29	45	27	62	41	38	32	43	39	84	79	26	24	51	27	39	31	54	36	28	13	57	9	21	30	35	29
RVT_1	32	9	34	6	10	25	22	51	0	0	0	4	1	41	27	13	16	12	134	78	36	33	30	1	26	163	174	13	1	30	23
EF-hand_6	43	17	23	41	49	38	45	47	26	13	22	11	27	82	58	126	74	20	17	30	37	30	27	14	22	63	33	13	23	33	41
RGS	45	27	18	72	37	49	27	117	11	21	14	8	45	109	47	11	14	16	17	40	37	46	40	25	46	45	24	27	14	28	28
PCI	55	16	26	49	41	59	33	87	19	16	18	15	25	75	44	33	32	30	17	47	28	28	32	15	43	99	20	8	15	38	44
Rad60-SLD	58	25	33	42	61	73	27	58	15	11	12	19	65	35	81	59	36	27	41	51	45	28	38	17	29	49	30	10	17	16	19
TPR_1	46	20	27	49	50	47	27	77	12	15	11	7	21	82	61	25	24	31	25	39	47	51	35	29	35	74	24	20	10	29	32
RhoGEF	44	32	31	32	36	43	24	82	15	13	16	9	53	120	61	12	13	17	30	43	40	72	39	30	14	45	48	24	13	28	20
Glyco_hydro_43	64	18	26	41	52	51	33	71	0	0	0	1	48	46	22	14	67	38	24	38	36	52	38	14	30	59	72	30	0	35	33
zf-C2H2_4	37	12	19	31	37	30	11	42	46	27	26	15	41	46	45	18	16	16	0	27	24	24	14	11	48	246	62	35	43	21	66
RabGAP-TBC	54	23	44	34	47	60	29	60	18	21	19	15	37	110	42	34	31	30	21	39	46	41	41	22	22	34	15	15	16	44	38
Kinesin	59	25	32	42	36	63	17	67	24	21	18	23	36	114	44	29	42	36	31	27	20	33	22	24	19	58	29	25	28	17	16
Glyco_hydro_114	58	20	21	13	48	61	15	36	0	0	1	9	22	55	29	9	12	8	11	24	26	19	21	24	132	97	96	80	2	30	29
Prenyltrans	52	15	46	68	95	96	28	49	12	16	17	15	13	51	26	55	33	24	6	35	38	70	27	14	40	41	7	6	15	46	35
PP2C	56	15	20	55	74	58	29	42	11	7	11	12	26	96	49	26	25	34	8	33	32	25	33	17	47	78	38	11	7	29	52
Condensation	14	148	9	4	9	14	2	26	1	1	18	1	84	10	7	2	1	2	289	73	69	50	66	5	1	39	52	123	7	4	6
Radical_SAM	154	11	18	62	91	181	16	37	8	8	7	9	14	30	18	32	31	27	9	21	23	27	16	10	57	47	29	7	8	20	29
SRPRB	58	18	22	43	49	73	33	56	12	12	14	12	38	99	41	21	19	26	13	32	36	32	35	19	46	56	21	13	13	36	34
Glyco_hydro_45	47	12	15	22	77	37	27	41	0	0	0	3	23	53	29	54	77	46	13	44	29	38	34	12	61	69	40	20	0	36	59
zf-CCCH	67	17	31	51	46	56	23	55	15	12	20	17	27	89	36	31	31	34	14	44	33	19	30	21	39	79	20	11	12	34	36
Ion_trans	44	28	22	34	23	46	12	45	22	7	7	17	60	107	45	12	11	17	29	42	33	37	34	41	24	88	87	24	21	17	22
Peptidase_C14	43	10	17	47	41	43	21	46	6	3	3	6	20	112	49	57	43	57	13	42	43	33	30	12	42	42	48	12	5	31	38
TLD	34	20	24	45	32	33	26	68	5	4	4	5	41	74	35	21	23	22	30	46	46	26	37	17	56	93	34	17	5	32	34
Epimerase	46	15	19	25	44	45	23	87	26	14	17	54	22	46	45	22	19	19	18	23	18	48	27	9	28	97	81	14	33	20	25
Glyco_hydro_48	19	9	14	12	16	19	20	35	0	0	0	0	23	77	35	20	38	31	14	86	68	44	72	13	64	46	41	15	0	76	78
Glyco_hydro_9	41	9	26	49	37	88	24	38	1	0	1	1	14	47	25	28	38	39	13	51	32	24	34	12	45	68	46	12	1	38	33
Methyltransf_23	86	18	24	54	42	48	21	54	26	17	19	31	22	52	32	21	26	24	10	24	30	44	34	11	31	83	51	12	25	27	32
zf-RING_UBOX	35	17	24	29	37	38	16	48	27	19	21	50	24	54	39	34	26	25	12	44	34	40	33	19	37	74	25	14	38	28	47
GTP_EFTU	28	14	20	84	25	22	24	81	24	18	17	22	19	51	40	86	27	31	9	29	27	16	19	16	27	60	69	10	22	13	20
Abhydrolase_6	21	12	10	12	12	32	32	69	37	33	18	49	17	68	21	10	11	13	10	34	29	61	30	6	107	83	40	19	36	14	22
MTS	95	18	24	40	51	49	26	54	18	9	12	13	25	66	35	27	25	26	6	25	33	43	35	13	29	67	47	13	15	27	36
UCH_1	63	15	38	37	38	57	30	69	18	18	13	19	23	62	50	24	26	31	17	35	27	24	28	14	43	86	10	13	15	25	25
Cyclin_N	49	21	24	48	35	57	23	59	38	25	14	23	29	84	38	24	28	23	19	40	27	40	22	21	36	49	20	9	20	25	28
Glyco_hydro_1	35	19	24	15	44	35	20	31	6	0	0	1	48	80	55	42	51	33	17	34	64	25	43	30	45	24	31	30	4	36	36
LRR_6	29	14	48	85	19	53	8	29	20	11	10	93	21	74	21	10	10	7	15	42	35	44	34	15	26	80	44	20	12	26	26
CBM26	12	21	8	34	8	21	10	9	0	0	0	0	10	38	7	55	77	134	25	54	59	162	59	1	8	8	15	13	0	36	38
F-box	24	17	47	92	28	53	13	41	29	33	23	57	39	69	45	15	23	12	18	27	29	42	22	18	8	31	44	19	61	18	19
Lipase_GDSL	31	22	14	19	17	28	32	104	21	4	6	6	39	84	30	23	22	20	23	28	28	32	31	11	36	52	42	31	26	55	48
AAA-ATPase_like	64	49	44	47	42	72	15	44	0	0	0	0	77	117	32	25	19	25	41	31	14	25	24	23	3	47	60	50	1	7	9
SNF2_N	65	19	41	27	26	87	30	63	34	26	29	27	28	46	46	27	15	11	21	38	38	45	29	20	8	30	34	17	33	9	17
Myosin_head	39	13	24	33	23	37	14	77	17	7	8	8	24	82	48	20	13	14	28	37	39	50	33	14	17	76	61	13	13	17	22
Ricin_B_lectin	79	53	44	58	71	113	7	29	15	3	1	0	23	27	12	10	30	18	19	46	39	43	27	4	21	42	40	13	3	23	27
rve	9	0	23	0	3	13	22	22	0	0	0	0	0	48	9	2	1	1	129	93	36	26	41	0	21	194	202	2	0	18	20
E1-E2_ATPase	38	23	22	15	23	41	18	55	39	25	24	29	38	69	42	18	13	17	20	33	22	39	29	23	14	59	53	20	35	11	13
EamA	36	20	35	30	58	43	24	52	7	9	6	10	31	55	47	33	18	18	10	34	25	25	30	18	45	63	33	17	13	42	42
HMG_box	28	12	13	24	28	30	19	43	25	10	11	18	40	101	35	21	22	25	20	49	33	34	36	15	43	69	30	17	15	29	19
WW	59	13	21	100	49	65	21	54	28	10	11	17	14	56	39	32	25	25	18	27	39	27	35	13	29	39	24	9	20	7	18
GATA	51	15	25	43	46	53	21	63	32	13	13	15	27	77	31	27	29	25	7	37	15	30	26	16	29	37	26	13	28	20	24
Serpin	43	12	32	38	26	41	119	211	0	0	0	2	15	57	17	2	3	3	4	10	11	17	12	0	55	89	74	14	0	3	10
UBA	46	14	29	48	60	76	19	46	16	11	7	11	24	57	33	33	27	33	13	32	24	28	34	15	37	47	32	8	9	18	20
F-box-like	23	20	17	37	24	39	13	45	30	35	32	69	33	61	36	13	23	11	23	24	22	43	29	22	13	34	67	20	22	21	22
MreB_Mbl	44	16	24	32	40	39	25	32	11	8	9	6	72	51	42	16	16	16	20	49	29	29	32	25	26	40	35	20	10	31	26
S6PP	39	15	21	28	31	41	14	35	9	0	1	1	16	48	70	31	19	23	8	49	31	31	43	16	52	46	14	10	5	57	38
NUDIX	35	11	24	25	31	39	23	67	12	5	8	24	16	83	31	17	22	27	13	21	22	19	25	11	59	63	29	10	8	21	28
Glyco_transf_34	53	24	22	33	32	55	16	26	1	8	0	1	26	74	21	15	17	20	21	39	62	44	43	25	47	39	26	8	16	25	25
Gelsolin	26	12	13	37	26	25	25	45	11	8	11	9	22	86	20	19	16	56	15	39	26	26	30	13	31	48	35	13	6	34	38
Kdo	42	11	22	32	29	50	33	99	19	10	10	11	17	56	22	26	21	13	11	29	31	32	29	15	28	72	22	10	25	19	31
AMP-binding_C	73	67	7	41	36	33	5	49	11	14	11	40	45	9	11	7	8	6	109	31	31	15	28	5	22	57	50	62	8	6	7
PX	39	17	16	24	28	43	16	48	13	16	14	13	28	81	27	19	36	22	21	31	59	21	24	17	36	28	23	10	10	28	38
BRCT	57	18	36	38	49	78	17	43	15	11	12	10	20	64	31	24	26	31	7	36	21	22	31	23	24	35	9	15	15	20	13
Abi	47	21	13	23	35	53	7	24	1	1	1	2	21	130	60	22	44	51	4	23	25	23	25	6	43	47	31	16	0	14	13
JAB	72	9	19	76	67	74	24	48	10	10	10	8	17	37	36	33	22	37	8	26	19	26	18	10	30	37	32	9	6	21	22
Bromodomain	44	21	34	37	32	58	14	43	15	18	18	19	34	70	25	31	19	22	21	32	29	30	35	22	8	29	35	19	13	9	15
Adaptin_N	43	9	18	43	33	42	24	50	13	9	10	8	18	94	56	24	23	25	17	25	29	32	30	10	10	80	19	9	9	24	38
Esterase	43	18	25	28	28	51	25	34	6	7	3	3	35	47	31	7	16	16	17	28	24	28	31	10	24	77	76	26	5	33	26
NDK	33	12	14	21	17	55	21	55	16	8	10	7	15	77	28	35	11	11	10	49	38	26	56	5	17	60	17	5	16	18	30
Lactamase_B	34	18	16	30	23	60	14	42	12	12	10	15	20	45	66	21	12	10	11	23	18	25	24	13	21	109	24	10	14	17	26
Methyltransf_12	59	14	19	46	36	42	16	47	17	10	17	23	19	46	25	20	23	20	7	17	26	32	26	9	27	56	48	11	16	23	21
Alpha-amylase	23	12	12	76	26	36	9	19	3	2	10	2	12	73	26	28	66	79	12	24	20	28	20	5	17	39	30	8	1	21	15
